task,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state,block
task7_fixed_random_1,200,2970,agent_1,16.966596603393555,20.051469802856445,38.248584045588565,0.7464132308959961,2.9485301971435547,0.2924044132232666,-0.2873256206512451,-1.756287932395935,-18.461410522460938,-2.3180460929870605,-0.44635093212127686,0.0,active,0
task7_fixed_random_1,200,2971,agent_1,16.95597267150879,19.98851776123047,38.25253310962082,1.6335192918777466,3.0114822387695312,0.06384158134460449,-0.8854402303695679,-2.6760666370391846,-20.353473663330078,-3.102050542831421,-0.44635093212127686,0.0,active,0
task7_fixed_random_1,200,2972,agent_1,16.89383888244629,19.789209365844727,38.29409383619317,1.7738840579986572,2.812704086303711,0.20876812934875488,-0.13501913845539093,-1.9992190599441528,-22.311527252197266,-3.1202807426452637,-0.46928638219833374,0.0,active,0
task7_fixed_random_1,200,2973,agent_1,16.80365562438965,19.717573165893555,38.37682990951692,2.373281955718994,2.731870174407959,0.1151726245880127,-0.5973078012466431,-2.427765369415283,-24.348194122314453,-3.477057456970215,-0.5036081671714783,0.0,active,0
task7_fixed_random_1,200,2974,agent_1,16.77403450012207,19.698827743530273,38.404501885510335,2.4808883666992188,2.7105443477630615,0.03505420684814453,-0.10704592615365982,-2.062605857849121,-26.361845016479492,-3.488516330718994,-0.5411050319671631,0.0,active,0
task7_fixed_random_1,200,2975,agent_1,16.141395568847656,19.883848190307617,39.052213959033466,-2.9566872119903564,2.883848190307617,0.6591391563415527,-0.8487653732299805,-3.118155002593994,-28.745901107788086,-4.208919048309326,-0.5548009276390076,0.0,active,0
task7_fixed_random_1,200,2976,agent_1,15.854930877685547,20.232303619384766,39.373199393971454,-2.366567611694336,2.7676963806152344,0.45109033584594727,-0.5982022881507874,-2.5275473594665527,-30.886449813842773,-4.566764831542969,-0.5839530229568481,0.0,active,0
task7_fixed_random_1,200,2977,agent_1,15.863215446472168,20.323062896728516,39.37482416466549,-1.5897806882858276,2.6769371032714844,0.09113740921020508,-0.7791014909744263,-2.6148242950439453,-32.851619720458984,-5.173764228820801,-0.6266083717346191,0.0,active,0
task7_fixed_random_1,200,2978,agent_1,15.903200149536133,20.357179641723633,39.33884559792626,-0.8173812031745911,2.642820358276367,0.05256199836730957,-0.773373007774353,-2.5891971588134766,-34.79461669921875,-5.771870136260986,-0.6747030019760132,0.0,active,0
task7_fixed_random_1,200,2979,agent_1,16.006757736206055,20.40190315246582,39.24091861318507,-0.520097553730011,2.5980968475341797,0.11280202865600586,-0.29870831966400146,-2.0017309188842773,-36.65156936645508,-5.8610968589782715,-0.7302550077438354,0.0,active,0
task7_fixed_random_1,200,2980,agent_1,16.047147750854492,20.510366439819336,39.21311137572749,-1.3295938968658447,2.489633560180664,0.11574053764343262,0.8066321611404419,-2.651888132095337,-38.57746505737305,-6.511752128601074,-0.8055911660194397,0.0,active,0
task7_fixed_random_1,200,2981,agent_1,16.045446395874023,20.69310760498047,39.23623969608517,-1.700008749961853,2.3068923950195312,0.18274927139282227,0.3657931089401245,-2.199028491973877,-40.52749252319336,-6.645556926727295,-0.9207864999771118,0.0,active,0
task7_fixed_random_1,200,2982,agent_1,15.931918144226074,20.807424545288086,39.36275334180893,-2.4751689434051514,2.192575454711914,0.16111207008361816,0.7726222276687622,-2.8043670654296875,-42.589561462402344,-7.242502212524414,-1.066139578819275,0.0,active,0
task7_fixed_random_1,200,2983,agent_1,15.841643333435059,20.81113624572754,39.452806348862744,3.0604305267333984,2.188863754272461,0.09035086631774902,0.7477720379829407,-2.7594878673553467,-44.64347457885742,-7.801665306091309,-1.2125518321990967,0.0,active,0
task7_fixed_random_1,200,2984,agent_1,15.441668510437012,20.96359634399414,39.86851989858995,-2.9022433757781982,2.0364036560058594,0.42804670333862305,-0.3230837285518646,-2.543923854827881,-46.887969970703125,-7.90604829788208,-1.4075976610183716,0.0,active,0
task7_fixed_random_1,200,2985,agent_1,15.032675743103027,20.919342041015625,40.26893262022783,2.9113385677337646,2.080657958984375,0.4113802909851074,0.47195810079574585,-2.638427734375,-49.12382888793945,-8.128792762756348,-1.5874203443527222,0.0,active,0
task7_fixed_random_1,200,2986,agent_1,14.802414894104004,20.916114807128906,40.497086724141326,3.0058822631835938,2.091428756713867,0.2302837371826172,-0.09376989305019379,-2.321096658706665,-51.25986862182617,-8.137585639953613,-1.7636833190917969,0.0,active,0
task7_fixed_random_1,200,2987,agent_1,14.610508918762207,20.727985382080078,40.66527800931097,2.2496023178100586,2.2992441654205322,0.2687389850616455,0.7614448666572571,-2.7575674057006836,-53.32056427001953,-8.717384338378906,-1.8807569742202759,0.0,active,0
task7_fixed_random_1,200,2988,agent_1,14.403841018676758,20.537017822265625,40.84890028821373,2.284360885620117,2.5223615169525146,0.2813894748687744,-0.029527049511671066,-2.1410350799560547,-55.391632080078125,-8.718255996704102,-1.949853777885437,0.0,active,0
task7_fixed_random_1,200,2989,agent_1,14.272212028503418,20.542634963989258,40.98033974318953,3.07316255569458,2.545600652694702,0.13174867630004883,-0.7885812520980835,-2.7654123306274414,-57.47037124633789,-9.340116500854492,-2.0146656036376953,0.0,active,0
task7_fixed_random_1,200,2990,agent_1,14.239480972290039,20.580352783203125,41.017064046892756,-2.3974223136901855,2.517072916030884,0.049939632415771484,-0.8134260177612305,-2.7484989166259766,-59.48712158203125,-10.001778602600098,-2.084754228591919,0.0,active,0
task7_fixed_random_1,200,2991,agent_1,14.323866844177246,21.405899047851562,41.03378550689402,-1.6010583639144897,1.7005486488342285,0.829848051071167,-0.8165877461433411,-2.703627347946167,-61.171905517578125,-10.668594360351562,-2.436783790588379,0.0,active,0
task7_fixed_random_1,200,2992,agent_1,14.310312271118164,21.433691024780273,41.05089141086579,-2.1573402881622314,1.6783714294433594,0.030920982360839844,0.5556542873382568,-2.679316997528076,-63.17664337158203,-10.977346420288086,-2.8026115894317627,0.0,active,0
task7_fixed_random_1,200,2993,agent_1,13.516485214233398,22.288925170898438,41.95750920617281,-2.4694297313690186,1.4150766134262085,1.1668701171875,0.29438886046409607,-3.1089534759521484,-65.61651611328125,-11.064011573791504,-3.3850302696228027,0.0,active,0
task7_fixed_random_1,200,2994,agent_1,13.20218276977539,22.526384353637695,42.304269500165915,-2.649463176727295,1.544523000717163,0.3939197063446045,0.17559733986854553,-2.682145595550537,-67.80570983886719,-11.09484577178955,-3.847149133682251,0.0,active,0
task7_fixed_random_1,200,2995,agent_1,13.154972076416016,22.79332733154297,42.392872728313804,-1.9067848920822144,1.475731372833252,0.2710864543914795,-0.7487281560897827,-3.0628697872161865,-69.78588104248047,-11.655439376831055,-4.369256496429443,0.0,active,0
task7_fixed_random_1,200,2996,agent_1,13.297052383422852,22.934402465820312,42.275545856546344,-0.9466245770454407,1.2944166660308838,0.20022296905517578,-0.9639931321144104,-3.460447311401367,-71.58846282958984,-12.584722518920898,-5.097837448120117,0.0,active,0
task7_fixed_random_1,200,2997,agent_1,13.369157791137695,22.944061279296875,42.20600680080765,-0.2984336018562317,1.2229957580566406,0.07274913787841797,-0.648697018623352,-3.158364772796631,-73.48982238769531,-13.00553035736084,-5.934033393859863,0.0,active,0
task7_fixed_random_1,200,2998,agent_1,13.457493782043457,22.85868263244629,42.104885112318954,0.604752242565155,1.1705129146575928,0.12285280227661133,-0.9015308618545532,-3.5906386375427246,-75.33956146240234,-13.81828784942627,-6.862176895141602,0.0,active,0
